,precision,recall,f1-measure
眼科,0.8717379233759023,0.884009009009009,0.87783058428851
风湿免疫科,0.7592281879194631,0.7411957411957412,0.7501036054703688
心理科,0.6758241758241759,0.6323907455012854,0.6533864541832669
急诊科,0.7938856015779092,0.7962413452027696,0.7950617283950616
性病科,0.7633986928104575,0.6952380952380952,0.7277258566978192
精神科,0.7479674796747967,0.7076923076923077,0.7272727272727273
脊柱外科,0.7253384912959381,0.6824385805277525,0.7032348804500703
妇科,0.7514635444385311,0.7792494481236203,0.7651043077756705
普外科,0.5896757114493713,0.568602425015954,0.5789473684210525
肿瘤科,0.6974500344589938,0.7463126843657817,0.7210545065906662
骨科,0.6489994591671173,0.6586169045005489,0.6537728139471535
康复科,0.8190954773869347,0.657258064516129,0.7293064876957494
内分泌科,0.6791923724060572,0.6987882285054818,0.6888509670079636
感染科,0.7324902723735408,0.6634361233480176,0.6962552011095701
乳腺外科,0.8333333333333334,0.827933765298776,0.8306247742867462
消化内科,0.5902255639097744,0.615686274509804,0.6026871401151632
疼痛科,0.4578005115089514,0.4621342512908778,0.4599571734475375
血管外科,0.7853598014888338,0.757177033492823,0.7710109622411693
男科,0.6727115716753023,0.6143533123028391,0.6422093981863148
肾内科,0.7760814249363868,0.7493857493857494,0.7625000000000001
泌尿外科,0.6153447382063245,0.6751990898748578,0.6438839164632493
耳鼻咽喉科,0.7413148049171566,0.7774663677130045,0.7589603283173736
肝胆外科,0.7988599348534202,0.7854283426741393,0.7920872022607994
新生儿科,0.7363636363636363,0.6893617021276596,0.712087912087912
儿科,0.5878155872667399,0.5989932885906041,0.5933518005540166
中医科,0.5066326530612245,0.547107438016529,0.526092715231788
口腔科,0.8688063063063063,0.8742209631728045,0.8715052245128495
血液科,0.762280701754386,0.773820124666073,0.7680070702607159
普通内科,0.5120614035087719,0.37479935794542535,0.432808155699722
神经内科,0.5783699059561128,0.6163697104677061,0.5967654986522911
产科,0.7640067911714771,0.7674815235929505,0.7657402155416903
皮肤科,0.7158385093167702,0.7721943048576214,0.7429492344883158
神经外科,0.6829855537720706,0.6706067769897557,0.6767395626242545
呼吸内科,0.6664890783164624,0.6926910299003323,0.6793374966060277
心血管内科,0.7291950886766713,0.7079470198675497,0.7184139784946239
肛肠外科,0.8762511373976342,0.8366637706342311,0.8560000000000001
